Time,secs	AreaA,cm2	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused
0.610000	256.844492	11.088347	-595.823653	-595.823653	1.4536190000000002	45.475000	0.000000	-156.063355	158.241066	NaN
1.110000	256.844492	11.088347	-595.823653	-595.823653	1.4818440000000002	45.475000	0.000000	-156.003267	158.223305	NaN
1.610000	256.784405	11.085753	-595.823653	-595.823653	1.4489139999999998	45.475000	0.000000	-156.063355	158.241066	NaN
2.110000	256.844492	11.088347	-595.823653	-595.823653	1.458323	45.475000	0.000000		158.241066	NaN
2.610000	256.844492	11.088347	-595.823653	-595.823653	1.47714	45.475000	0.000000		158.258826	NaN
3.110000	256.844492	11.088347	-595.823653	-595.823653	1.4865490000000001	45.475000	0.000000		158.258826	NaN
3.610000	256.784405	11.085753	-595.823653	-595.823653	1.472436	45.475000	0.000000		158.258826	NaN
4.110000	256.784405	11.085753	-595.823653	-595.823653	1.4865490000000001	45.475000	0.000000		158.267706	NaN
4.610000	256.784405	11.085753	-595.823653	-595.823653	1.4865490000000001	45.475000	0.000000		158.267706	NaN
5.110000	256.784405	11.085753	-595.823653	-595.823653	1.458323	45.475000	0.000000		158.285467	NaN
5.610000	256.844492	11.088347	-595.823653	-595.823653	1.491253	45.475000	0.000000		158.294347	NaN
6.110000	256.844492	11.088347	-595.823653	-595.823653	1.4630269999999999	45.475000	0.000000		158.294347	NaN
6.610000	256.844492	11.088347	-595.823653	-595.823653	1.4865490000000001	45.475000	0.000000		158.303227	NaN
7.110000	256.844492	11.088347	-595.823653	-595.823653	1.4818440000000002	45.475000	0.000000		158.303227	NaN
7.610000	256.784405	11.085753	-595.823653	-595.823653	1.491253	45.475000	0.000000		158.312107	NaN
8.110000	256.784405	11.085753	-595.823653	-595.823653	1.4959570000000002	45.475000	0.000000		158.320988	NaN
8.610000	256.784405	11.085753	-595.823653	-595.823653	1.4818440000000002	45.475000	0.000000		158.320988	NaN
9.110000	256.604142	11.077970	-595.823653	-595.823653	1.4677310000000001	45.475000	0.000000		158.320988	NaN
9.610000	256.664230	11.080565	-595.823653	-595.823653	1.47714	45.475000	0.000000		158.329868	NaN
10.110000	256.604142	11.077970	-595.823653	-595.823653	1.4818440000000002	45.475000	0.000000		158.338748	NaN
10.610000	256.664230	11.080565	-595.823653	-595.823653	1.4959570000000002	45.475000	0.000000		158.347628	NaN
11.110000	256.664230	11.080565	-595.823653	-595.823653	1.5100700000000002	45.475000	0.000000		158.347628	NaN
11.610000	256.483967	11.072782	-595.823653	-595.823653	1.5194779999999999	45.475000	0.000000		158.356509	NaN
12.110000	256.423880	11.070188	-595.823653	-595.823653	1.491253	45.475000	0.000000		158.365389	NaN
12.610000	256.303705	11.065000	-595.823653	-595.823653	1.505366	45.475000	0.000000		158.365389	NaN
13.110000	256.243617	11.062406	-595.823653	-595.823653	1.505366	45.475000	0.000000		158.374269	NaN
13.610000	256.303705	11.065000	-595.823653	-595.823653	1.528887	45.475000	0.000000		158.383149	NaN
14.110000	256.303705	11.065000	-595.823653	-595.823653	1.500661	45.475000	0.000000		158.383149	NaN
14.610000	256.303705	11.065000	-595.823653	-595.823653	1.5430000000000001	45.475000	0.000000		158.383149	NaN
15.110000	256.243617	11.062406	-595.823653	-595.823653	1.533591	45.475000	0.000000		158.392029	NaN
15.610000	256.063355	11.054624	-595.823653	-595.823653	1.5241829999999998	45.475000	0.000000		158.400910	NaN
16.110000	256.003267	11.052030	-595.823653	-595.823653	1.533591	45.475000	0.000000		158.400910	NaN
16.610000	256.003267	11.052030	-595.823653	-595.823653	1.5524080000000002	45.475000	0.000000		158.418670	NaN
17.110000	256.003267	11.052030	-595.823653	-595.823653	1.5430000000000001	45.475000	0.000000		158.427550	NaN
