Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.420000	111.206280	4.800935	-595.823653	-595.823653	21.308808	42.496000	0.000000		157.779294	NaN
0.920000	111.245663	4.802635	-595.823653	-595.823653	21.308808	42.496000	0.000000		157.770414	NaN
1.420000	111.206280	4.800935	-595.823653	-595.823653	21.304332	42.496000	0.000000		157.779294	NaN
1.920000	111.245663	4.802635	-595.823653	-595.823653	21.308808	42.496000	0.000000		157.779294	NaN
2.420000	111.206280	4.800935	-595.823653	-595.823653	21.340138	42.496000	0.000000		157.770414	NaN
2.920000	110.969984	4.790734	-595.823653	-595.823653	21.353565	42.496000	0.000000		157.779294	NaN
3.420000	110.930601	4.789034	-595.823653	-595.823653	21.362516	42.496000	0.000000		157.779294	NaN
3.920000	110.733688	4.780533	-595.823653	-595.823653	21.375943	42.496000	0.000000		157.788174	NaN
4.420000	110.576158	4.773732	-595.823653	-595.823653	21.384895	42.496000	0.000000		157.788174	NaN
4.920000	110.339862	4.763531	-595.823653	-595.823653	21.398322	42.496000	0.000000		157.788174	NaN
5.420000	110.339862	4.763531	-595.823653	-595.823653	21.398322	42.496000	0.000000		157.788174	NaN
5.920000	110.103566	4.753330	-595.823653	-595.823653	21.416224	42.496000	0.000000		157.788174	NaN
6.420000	109.867270	4.743128	-595.823653	-595.823653	21.416224	42.496000	0.000000		157.788174	NaN
6.920000	109.749122	4.738028	-595.823653	-595.823653	21.420700	42.496000	0.000000		157.788174	NaN
7.420000	109.630974	4.732927	-595.823653	-595.823653	21.429652	42.496000	0.000000		157.797054	NaN
7.920000	109.355295	4.721026	-595.823653	-595.823653	21.438603	42.496000	0.000000		157.788174	NaN
8.420000	109.394678	4.722726	-595.823653	-595.823653	21.443079	42.496000	0.000000		157.788174	NaN
8.920000	109.197765	4.714225	-595.823653	-595.823653	21.456506	42.496000	0.000000		157.797054	NaN
9.420000	109.000852	4.705724	-595.823653	-595.823653	21.456506	42.496000	0.000000		157.788174	NaN
9.920000	108.882704	4.700623	-595.823653	-595.823653	21.465457	42.496000	0.000000		157.797054	NaN
10.420000	108.685790	4.692122	-595.823653	-595.823653	21.474409	42.496000	0.000000		157.805935	NaN
10.920000	108.528260	4.685321	-595.823653	-595.823653	21.478884	42.496000	0.000000		157.797054	NaN
11.420000	108.331346	4.676820	-595.823653	-595.823653	21.492311	42.496000	0.000000		157.797054	NaN
11.920000	108.173816	4.670019	-595.823653	-595.823653	21.492311	42.496000	0.000000		157.805935	NaN
12.420000	108.095051	4.666619	-595.823653	-595.823653	21.501263	42.496000	0.000000		157.797054	NaN
12.920000	107.858755	4.656418	-595.823653	-595.823653	21.510214	42.496000	0.000000		157.797054	NaN
13.420000	107.622459	4.646217	-595.823653	-595.823653	21.514690	42.496000	0.000000		157.797054	NaN
13.920000	107.583076	4.644516	-595.823653	-595.823653	21.514690	42.496000	0.000000		157.805935	NaN
14.420000	107.425546	4.637716	-595.823653	-595.823653	21.519166	42.496000	0.000000		157.805935	NaN
14.920000	107.189250	4.627514	-595.823653	-595.823653	21.528117	42.496000	0.000000		157.805935	NaN
15.420000	107.189250	4.627514	-595.823653	-595.823653	21.546020	42.496000	0.000000		157.805935	NaN
15.920000	106.952954	4.617313	-595.823653	-595.823653	21.546020	42.496000	0.000000		157.805935	NaN
16.420000	106.756040	4.608812	-595.823653	-595.823653	21.550496	42.496000	0.000000		157.814815	NaN
16.920000	106.637892	4.603711	-595.823653	-595.823653	21.559447	42.496000	0.000000		157.805935	NaN
17.420000	106.559127	4.600311	-595.823653	-595.823653	21.568398	42.496000	0.000000		157.814815	NaN
17.920000	106.322831	4.590110	-595.823653	-595.823653	21.581825	42.496000	0.000000		157.814815	NaN
18.420000	106.204683	4.585009	-595.823653	-595.823653	21.581825	42.496000	0.000000		157.814815	NaN
18.920000	106.047153	4.578208	-595.823653	-595.823653	21.590777	42.496000	0.000000		157.805935	NaN
19.420000	105.889622	4.571408	-595.823653	-595.823653	21.595253	42.496000	0.000000		157.823695	NaN
19.920000	105.653326	4.561206	-595.823653	-595.823653	21.604204	42.496000	0.000000		157.814815	NaN
20.420000	105.613944	4.559506	-595.823653	-595.823653	21.608680	42.496000	0.000000		157.814815	NaN
20.920000	105.417030	4.551005	-595.823653	-595.823653	21.617631	42.496000	0.000000		157.823695	NaN
21.420000	105.220117	4.542504	-595.823653	-595.823653	21.622107	42.496000	0.000000		157.814815	NaN
21.920000	105.220117	4.542504	-595.823653	-595.823653	21.626582	42.496000	0.000000		157.814815	NaN
22.420000	104.983821	4.532303	-595.823653	-595.823653	21.635534	42.496000	0.000000		157.823695	NaN
22.920000	104.747525	4.522102	-595.823653	-595.823653	21.640010	42.496000	0.000000		157.823695	NaN
23.420000	104.747525	4.522102	-595.823653	-595.823653	21.644485	42.496000	0.000000		157.814815	NaN
23.920000	104.511229	4.511900	-595.823653	-595.823653	21.653437	42.496000	0.000000		157.814815	NaN
24.420000	104.235551	4.499999	-595.823653	-595.823653	21.662388	42.496000	0.000000		157.823695	NaN
24.920000	104.156786	4.496598	-595.823653	-595.823653	21.666864	42.496000	0.000000		157.814815	NaN
25.420000	104.078020	4.493198	-595.823653	-595.823653	21.675815	42.496000	0.000000		157.814815	NaN
25.920000	103.881107	4.484697	-595.823653	-595.823653	21.680291	42.496000	0.000000		157.823695	NaN
26.420000	103.723576	4.477896	-595.823653	-595.823653	21.684766	42.496000	0.000000		157.823695	NaN
26.920000	103.644811	4.474496	-595.823653	-595.823653	21.698194	42.496000	0.000000		157.823695	NaN
