Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.770000	-1.509579	-0.065171	-595.823653	-595.823653	0.000000	42.496000	0.000000		119.079272	NaN
1.270000	-1.209054	-0.052197	-595.823653	-595.823653	0.008683	42.496000	0.000000		119.097033	NaN
1.770000	-0.822664	-0.035516	-595.823653	-595.823653	0.013025	42.496000	0.000000		119.097033	NaN
2.270000	-0.436273	-0.018835	-595.823653	-595.823653	0.026050	42.496000	0.000000		119.123673	NaN
2.770000	-0.006951	-0.000300	-595.823653	-595.823653	0.008683	42.496000	0.000000		119.123673	NaN
3.270000	0.207710	0.008967	-595.823653	-595.823653	0.008683	42.496000	0.000000		119.132554	NaN
3.770000	0.551168	0.023795	-595.823653	-595.823653	0.021708	42.496000	0.000000		119.132554	NaN
4.270000	0.937558	0.040476	-595.823653	-595.823653	0.008683	42.496000	0.000000		119.150314	NaN
4.770000	1.238084	0.053450	-595.823653	-595.823653	0.017367	42.496000	0.000000		119.150314	NaN
5.270000	1.710339	0.073838	-595.823653	-595.823653	0.034733	42.496000	0.000000		119.159194	NaN
5.770000	2.053797	0.088665	-595.823653	-595.823653	0.026050	42.496000	0.000000		119.168075	NaN
6.270000	2.397255	0.103493	-595.823653	-595.823653	0.008683	42.496000	0.000000		119.176955	NaN
6.770000	2.826577	0.122027	-595.823653	-595.823653	0.017367	42.496000	0.000000		119.185835	NaN
7.270000	3.170035	0.136855	-595.823653	-595.823653	0.021708	42.496000	0.000000		119.203595	NaN
7.770000	3.427629	0.147976	-595.823653	-595.823653	0.017367	42.496000	0.000000		119.203595	NaN
8.270000	3.814019	0.164657	-595.823653	-595.823653	0.013025	42.496000	0.000000		119.212476	NaN
8.770000	4.243341	0.183191	-595.823653	-595.823653	0.008683	42.496000	0.000000		119.230236	NaN
9.270000	4.543867	0.196165	-595.823653	-595.823653	0.021708	42.496000	0.000000		119.230236	NaN
9.770000	4.887325	0.210993	-595.823653	-595.823653	0.021708	42.496000	0.000000		119.247997	NaN
10.270000	5.273715	0.227674	-595.823653	-595.823653	0.013025	42.496000	0.000000		119.247997	NaN
10.770000	5.617173	0.242501	-595.823653	-595.823653	0.008683	42.496000	0.000000		119.256877	NaN
11.270000	5.874766	0.253622	-595.823653	-595.823653	0.013025	42.496000	0.000000		119.274637	NaN
